gender,action,pred_action,default,default_pred
female,default,default,1,0.88
female,default,default,1,0.87
female,default,default,1,0.86
female,default,default,1,0.85
female,default,default,1,0.84
female,default,default,1,0.83
female,default,default,1,0.82
female,default,default,1,0.81
female,default,default,1,0.8
female,default,default,1,0.79
female,default,default,1,0.78
female,default,default,1,0.77
female,default,default,1,0.76
female,default,default,1,0.75
female,default,default,1,0.74
female,default,default,1,0.73
female,default,default,1,0.72
female,default,default,1,0.71
female,default,default,1,0.7
female,default,default,1,0.69
female,default,default,1,0.68
female,default,default,1,0.67
female,default,default,1,0.66
female,default,default,1,0.65
female,default,default,1,0.64
female,default,default,1,0.26
female,default,default,1,0.27
female,default,default,1,0.28
female,default,default,1,0.29
female,default,default,1,0.3
female,default,default,1,0.31
female,default,default,1,0.32
female,default,default,1,0.33
female,default,default,1,0.34
female,default,default,1,0.35
female,default,default,1,0.36
female,default,default,1,0.37
female,default,default,1,0.38
female,default,default,1,0.39
female,default,default,1,0.4
female,default,default,1,0.41
female,default,default,1,0.42
female,default,default,1,0.43
female,default,default,1,0.44
female,default,default,1,0.45
female,default,default,1,0.46
female,default,default,1,0.47
female,default,default,1,0.48
female,default,default,1,0.49
female,default,default,1,0.5
female,default,default,1,0.51
female,default,default,1,0.52
female,default,default,1,0.53
female,default,default,1,0.54
female,default,default,1,0.55
female,default,default,1,0.56
female,default,default,1,0.57
female,default,default,1,0.58
female,default,default,1,0.59
female,default,default,1,0.6
female,default,default,1,0.61
female,default,default,1,0.62
female,default,default,1,0.63
female,default,default,1,0.64
female,default,default,1,0.65
female,default,default,1,0.66
female,default,default,1,0.67
female,default,default,1,0.68
female,default,default,1,0.69
female,default,default,1,0.7
female,default,default,1,0.71
female,default,default,1,0.72
female,default,default,1,0.73
female,default,default,1,0.74
female,default,default,1,0.75
female,default,default,1,0.76
female,default,default,1,0.77
female,default,default,1,0.78
female,default,default,1,0.79
female,default,default,1,0.8
female,default,default,1,0.81
female,default,default,1,0.82
female,default,default,1,0.83
female,default,default,1,0.84
female,default,default,1,0.85
female,default,default,1,0.86
female,default,default,1,0.87
female,default,default,1,0.88
female,default,default,1,0.89
female,default,default,1,0.9
female,default,default,1,0.91
female,default,default,1,0.92
female,default,default,1,0.93
female,default,default,1,0.94
female,default,default,1,0.95
female,default,default,1,0.96
female,default,default,1,0.97
female,default,default,1,0.98
female,default,default,1,0.99
female,default,default,1,1
female,nodefault,default,1,1
female,nodefault,default,1,0.99
female,nodefault,default,1,0.98
female,nodefault,default,1,0.97
female,nodefault,default,1,0.96
female,nodefault,default,1,0.95
